context,from,to,weight
BRAIN-AWARENESS-WEEK-2018,HEARTSRAW,US_FDA,2
DEMENTIA-ACTION-WEEK-2018,WRX_LABOUR,DEMENTIAFRIENDS,1
JEANS-FOR-GENES-DAY,CELERYSTICKKK,MRSANNETWIST,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,CATTT82,NIDIRECT,2
JEANS-FOR-GENES-DAY,_MY4TEENIDOLS,JEANSFORGENES,1
NATIONAL-DYSLEXIA-WEEK-2018,PANAMADIP,SCHOOLSWEEK,1
BRAIN-AWARENESS-WEEK-2018,ALLENINSTITUTE,PACSCI,1
DEMENTIA-ACTION-WEEK-2018,COMPEGE_,CORNEXCHANGE,1
16-DAYS-OF-ACTION-2018,THEFIRSTWIVES,SARAHCHAMPIONMP,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,BCMHOUSTON,BCMHOUSTON,1
ELF-DAY,HEATHERCEO,JO_MILLAR27,2
16-DAYS-OF-ACTION-2018,UNVARIF,UNICEF,2
RARE-DISEASE-DAY-2018,YEESENG23,EURORDIS,1
ELF-DAY,ROSHNIP77,THESOVRANGROUP,2
BRAIN-AWARENESS-WEEK-2018,HEIDI_MOSS,POLLYP1,1
STRESS-AWARENESS-DAY,QUEENSOFWARRIOR,AUSTRALIAZOO,1
NUTRITION-AND-HYDRATION-WEEK-2018,EARLEYTRACY,SARAHCU68504464,1
JEANS-FOR-GENES-DAY,KRAKOWIAKANITA,MRSANNETWIST,2
JEANS-FOR-GENES-DAY,MUMMYOFTOOMANY1,SOVEREIGN_PLAY,2
EXPERIENCE-OF-CARE-WEEK-2018,CHANDACHACON,PATTIMARTINLR,2
MND-AWARENESS-MONTH-2018,1VISIONHEALTH,QSPRIVATEHEALTH,4
NATIONAL-DEMENTIA-CARERS-2018,FLUFFYBEX,ALZHEIMERSSOC,4
NO-SMOKING-DAY-2018,MFSS_STOVES,MFSS_STOVES,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,BCUHB,2
CARERS-WEEK-2018,MARIE_LILMUMA79,NHSENGLAND,2
16-DAYS-OF-ACTION-2018,TOGETHER4GIRLS,WOMENDELIVER,2
NATIONAL-DYSLEXIA-WEEK-2018,SUEBECKER1013,ALISTAIRM,1
EXPERIENCE-OF-CARE-WEEK-2018,DRUMESHPRABHU,JASONAWOLF,1
DEMENTIA-ACTION-WEEK-2018,TRACYBULLOCK12,MIDCHESHIRENHS,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,KINGSTONCCG,KINGSTONHOSPNHS,2
NATIONAL-DEMENTIA-CARERS-2018,STW_DAA,ALZHEIMERSSOC,4
EPILEPSY-AWARENESS-PURPLE-DAY-2018,HOARSESOCIETY,GUILDFORDBARD,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,EMMALOUISE1_XXX,EVEAPPEAL,2
16-DAYS-OF-ACTION-2018,FATHERBOB,DVRCV,2
MND-AWARENESS-MONTH-2018,HORWICHNSC,BOLTONHOSPICE,2
RARE-DISEASE-DAY-2018,CLARE__TURNBULL,ICR_LONDON,2
DEMENTIA-ACTION-WEEK-2018,_LAMBETHLIFE,GSTTNHS,1
WEAR-PURPLE-FOR-JIA-2018,SIRPAGET,EM4680,2
ELF-DAY,YMT_FIONAART,ALZHEIMERSSOC,1
OCD-AWARENESS-WEEK-2018,ZIGGBOT,LWBEAN,2
16-DAYS-OF-ACTION-2018,OFFICIALGWDA,GBVNET,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,DERBYURGENTCARE,2
DRY-JANUARY-2018,KIMBERLEYSHOWE1,SEEDLIPDRINKS,1
CARERS-WEEK-2018,ANGELAK11635746,CHRISRDAVISON,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,MYSWEETZEPOL,TESAROBIO,1
BRAIN-INJURY-WEEK-2018,ANNAMCCLOSKEY41,CEDARFOUNDATION,2
NATIONAL-DYSLEXIA-WEEK-2018,CATHYGMIT,MADEBYDYSLEXIA,2
CARERS-WEEK-2018,153AIRCADETS,HARROWMVC,2
NUTRITION-AND-HYDRATION-WEEK-2018,BATHELAURA,NHWEEK,1
ELF-DAY,KAYMASS18815646,JK_JANETKAYE,2
STRESS-AWARENESS-DAY,ILOVEHATS,GUARDIAN,2
BRAIN-INJURY-WEEK-2018,NORWICHCOOKIE,HATCHBRENNER,1
NATIONAL-DEMENTIA-CARERS-2018,AGGERS_MRS,ALZHEIMERSSOC,2
NO-SMOKING-DAY-2018,NHSLEICESTER,ACTIVELEICESTER,2
JEANS-FOR-GENES-DAY,ARELI_CISNEROSH,MRSANNETWIST,2
MND-AWARENESS-MONTH-2018,MNDEVENTSPLYM,LINERLOOKOUT,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,KELS_ANDRADE,ATTSANDIEGO9,2
NUTRITION-AND-HYDRATION-WEEK-2018,JENNIDOMANDOMAN,AVEY_BHATIA,1
NO-SMOKING-DAY-2018,HEALTHWATCHLINC,LPFTNHS,2
ELF-DAY,KEEPEMHOME1,RCHHOMES,2
MENS-HEALTH-WEEK-2018,CONALDEVITT,LWSEFTON,2
DEMENTIA-ACTION-WEEK-2018,LYDIAKERR,CWAMUSSELBURGH,2
MND-AWARENESS-MONTH-2018,DSETTERS,MNDAEASTSUSSEX,6
WEAR-PURPLE-FOR-JIA-2018,DIEDERIKDECOCK,KEARSLEYFLEET,1
16-DAYS-OF-ACTION-2018,KENTBUSE,ETCRONE,2
EATING-DISORDER-AWARENESS-WEEK-2018,ELENADF75,NICECOMMS,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,GLASGOWCATHCART,JAMESMELVILLE,2
STRESS-AWARENESS-DAY,LEXSTRUCK,CALM,2
MND-AWARENESS-MONTH-2018,BRAINWAVETONY,MNDASSOC,1
TIME-TO-TALK-DAY-2018,HEATHERBOWES7,WRITERJEN19,2
NUTRITION-AND-HYDRATION-WEEK-2018,GAVINUHDB,UHDBTRUST,1
DRY-JANUARY-2018,LISASMITHEJ,DRINKTG,2
DRY-JANUARY-2018,MISSREBEL13,31DOVER,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,CATHERINESILCO1,2
STRESS-AWARENESS-DAY,MYPREPACADEMY,CALM,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,UKCHARITYTUES,EVEAPPEAL,2
BRAIN-AWARENESS-WEEK-2018,THINK_GP,SAMSBESTSHOT,1
RARE-DISEASE-DAY-2018,THEIBTA,CERNFOUNDATION,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,JESSLEWIS85,MRSPANDP,2
NO-SMOKING-DAY-2018,NRCLIBRARIES,CANCERFOCUSNI,1
WEAR-PURPLE-FOR-JIA-2018,MATT_NRAS,ED_MILIBAND,1
DRY-JANUARY-2018,KIRBYSWALES,ANNE_CONOLLY,2
STRESS-AWARENESS-DAY,ALTKOCOACH,PINKRIBBONMARK2,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,FROGGYSMAMA,TENOFFICIAL,2
WEAR-PURPLE-FOR-JIA-2018,OPTOM,LIZ_M_BEE,2
NO-SMOKING-DAY-2018,RACHAEL_STRAY,RACHAEL_STRAY,2
ELF-DAY,KERRY_MAXI,ALZHEIMERSSOC,1
JEANS-FOR-GENES-DAY,CELEWELLS,MRSANNETWIST,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,_VFAISALL,GREGJAMES,1
16-DAYS-OF-ACTION-2018,GOMATHIRAGHAVA4,PLANGLOBAL,4
OCD-AWARENESS-WEEK-2018,TECHNIIC0L0R,LWBEAN,2
MENS-HEALTH-WEEK-2018,DRGURDEEPPARHAR,VCHHEALTHCARE,2
RARE-DISEASE-DAY-2018,643PERALTA,NOINVISIBLES,2
NATIONAL-DEMENTIA-CARERS-2018,ANXIETYTRACKER,ALZHEIMERSSOC,2
DRY-JANUARY-2018,WHICHPENNYSMITH,KATEGARRAWAY,2
BRAIN-AWARENESS-WEEK-2018,MARADIERSSEN,LUMINOUSEU,2
RARE-DISEASE-DAY-2018,SARAEMOLE,BATTEN_PSDLA,1
STRESS-AWARENESS-DAY,PREET__KJOHAL,MENTALHEALTH,2
EXPERIENCE-OF-CARE-WEEK-2018,ANNKRUGER7,TERRISONGER,2
EATING-DISORDER-AWARENESS-WEEK-2018,HEARTSETONLIVIN,JADEP31,2
NO-SMOKING-DAY-2018,BBLOGRT,RACHAEL_STRAY,4
OCD-AWARENESS-WEEK-2018,JACKIEKAYLEE,POSITIVEPAGE_,2
DRY-JANUARY-2018,DONNA_46,31DOVER,2
OCD-AWARENESS-WEEK-2018,SHANLEYCHIEN,EMCINGVALE,1
ELF-DAY,HERATYWELLSYMT,YMT_CHRIS,2
WEAR-PURPLE-FOR-JIA-2018,LISCORDINGLEY,WENDYTHOMSON10,1
MND-AWARENESS-MONTH-2018,DRNEILPENDER,BOLTONHOSPICE,2
MENS-HEALTH-WEEK-2018,COOLMENTORING,ENDOCRINECENTER,2
WEAR-PURPLE-FOR-JIA-2018,MEDWAYGIRL74,ED_MILIBAND,2
JEANS-FOR-GENES-DAY,XHARRYSANGELSX,JEANSFORGENES,1
BRAIN-AWARENESS-WEEK-2018,TUTOGETHER,DEAEDFOUNDATION,2
ELF-DAY,JESSTHOMPKEMP,ALZHEIMERSSOC,1
NATIONAL-DYSLEXIA-WEEK-2018,GIRLNAMEDSUSAN,WORDSHARKV5,2
DEMENTIA-ACTION-WEEK-2018,TOMMYTOMMYTEE18,WHOSESHOES,2
EATING-DISORDER-AWARENESS-WEEK-2018,RUTHKETTLE1,BEATED,2
EXPERIENCE-OF-CARE-WEEK-2018,CEO_ROYALBERKS,HERRINGS18,2
OCD-AWARENESS-WEEK-2018,ELEANORROSE2016,OCDACTION,2
BRAIN-AWARENESS-WEEK-2018,MONESCRI,FALLAIMMATERIAL,1
BRAIN-INJURY-WEEK-2018,NICOLENATUR,RAMSDENSLLP,2
BRAIN-AWARENESS-WEEK-2018,SUPERJUNKHEAD,NEUROSCIENCENEW,2
16-DAYS-OF-ACTION-2018,NOVAKCHRISTOPH,SBEATTIESMITH,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,JAMESJIMMY_H,_JRWITT,1
MND-AWARENESS-MONTH-2018,ALEX_MORTY,MNDSCOTLAND,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,BOZWALDCOBLEPOT,LIBDEMS,2
NUTRITION-AND-HYDRATION-WEEK-2018,TETLEYTEAOOH,NHWEEK,1
NATIONAL-DEMENTIA-CARERS-2018,WILLIAMSHANKLY,DEMENTIAUK,2
BRAIN-INJURY-WEEK-2018,IMPUBLICLAW,IM_KIMFRYER,1
WEAR-PURPLE-FOR-JIA-2018,JAGTARNIJJAR,EM4680,2
ELF-DAY,RCHHOMES,ALZHEIMERSSOC,2
DRY-JANUARY-2018,LETABETA,THELAMBTAVERN,2
JEANS-FOR-GENES-DAY,FLUFFERS_,MRSANNETWIST,2
NATIONAL-DYSLEXIA-WEEK-2018,ONEDAVIDFLETCH,THINKPIX_SUZE,2
BRAIN-INJURY-WEEK-2018,HSSWYOUNGADULTS,HEADWAYSSW,3
16-DAYS-OF-ACTION-2018,EDWAILY_ALHASSI,ITALYINKRI,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,EASHT_NAPLESCSD,RSLADE80,2
WEAR-PURPLE-FOR-JIA-2018,GUILELESS_1,ED_MILIBAND,2
DEMENTIA-ACTION-WEEK-2018,KARENALRED,UNIOFSUFFOLK,2
TIME-TO-TALK-DAY-2018,JUXHOPE,JUXHOPE,1
OCD-AWARENESS-WEEK-2018,BPLPZ97,LWBEAN,2
NUTRITION-AND-HYDRATION-WEEK-2018,LTHTDIETETICS,LTHTRUST,1
RARE-DISEASE-DAY-2018,DRCONTREXIN,MDAORG,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,CCDACRE,BCLEGISLATURE,2
EXPERIENCE-OF-CARE-WEEK-2018,NOBISMHEALTH,BSWHEALTH,2
EXPERIENCE-OF-CARE-WEEK-2018,NICOLEBAILEY99,NANCYCORCORAN_,2
DEMENTIA-ACTION-WEEK-2018,LISSANNEOLIVER,STELIOSKIOSSES,2
BRAIN-AWARENESS-WEEK-2018,DANA_FDN,SITNAHS,2
EXPERIENCE-OF-CARE-WEEK-2018,HERRINGS18,YOUTUBE,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,THRIVEVIBES,BETHFRATESMD,2
ELF-DAY,TRUSATCGAL,CRH_PEARSON,1
RARE-DISEASE-DAY-2018,_USA_IMPACT,BANNERITE,2
16-DAYS-OF-ACTION-2018,ANNGAGNE,DURHAMCOLLEGE,2
JEANS-FOR-GENES-DAY,BIZFORYOURSELF,WRIGLEYCLAYDON,2
EATING-DISORDER-AWARENESS-WEEK-2018,VA_STANTON,THEPROJECTHEAL,1
BRAIN-INJURY-WEEK-2018,NORWICHCOOKIE,NORFOLKWHEADWAY,2
MENS-HEALTH-WEEK-2018,COOLMENTORING,MENSHEALTHAMHF,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,LMTAV,JAMESMELVILLE,2
DEMENTIA-ACTION-WEEK-2018,SLBALDRY,GBTPO,2
BRAIN-INJURY-WEEK-2018,BODAGALLON,YVOHASTINGS,1
NO-SMOKING-DAY-2018,CPFTNHS,MYVISIONMATTERS,2
JEANS-FOR-GENES-DAY,HARRYYXLOUIIS,MRSANNETWIST,5
BRAIN-INJURY-WEEK-2018,SEAMUSSAID,ISSABLOM,1
CARERS-WEEK-2018,HUW4OGMORE,WGDEP_HEALTH,1
BRAIN-AWARENESS-WEEK-2018,WALTHERCANCERIN,ALLENINSTITUTE,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,XANCAST,JAMESMELVILLE,2
NO-SMOKING-DAY-2018,PHARMFORUMNI,PUBLICHEALTHNI,2
MENS-HEALTH-WEEK-2018,GREYHEALTH,OGILVYHEALTHNA,1
NO-SMOKING-DAY-2018,DAMPFFREIHEIT,BAYSHORESAC,1
BRAIN-INJURY-WEEK-2018,DRPAS84ELE,ANEINTERNATIONA,2
NUTRITION-AND-HYDRATION-WEEK-2018,EARLEYTRACY,RBILTCLIFFE,1
WEAR-PURPLE-FOR-JIA-2018,DRDRSAGAR,ARTHRITISRUK,1
STRESS-AWARENESS-DAY,CRICKY36,RACINGBLOGGER,2
CARERS-WEEK-2018,DAVEROSSD,BMJ_LATEST,1
RARE-DISEASE-DAY-2018,KIMASTEELE,BOEHRINGERCA,2
OCD-AWARENESS-WEEK-2018,ANAFORA99,LWBEAN,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,CATHYSPARTANJ,KUHOOPS,1
TIME-TO-TALK-DAY-2018,GREYSEEKER,THE_UNSILENT_,2
NO-SMOKING-DAY-2018,SHARONWECCH,SMOKFREENORFOLK,2
JEANS-FOR-GENES-DAY,NIKHILMAHATMA,JEANSFORGENES,1
JEANS-FOR-GENES-DAY,TAOFEEKUTHMAN,SHOOTERSGROVE,1
NATIONAL-DYSLEXIA-WEEK-2018,NICKYJ123,WORDSHARKV5,2
BRAIN-AWARENESS-WEEK-2018,MONESCRI,BERKLEEGEMB,1
JEANS-FOR-GENES-DAY,PBEHRH,SMITHMAGENISUK,4
DRY-JANUARY-2018,CHARLOTTEA_PR,TELEPROPERTY,1
WEAR-PURPLE-FOR-JIA-2018,SIMONRSTONES,BCRD_STUDY,1
DRY-JANUARY-2018,TOFFEEPIGLET,SEEDLIPDRINKS,1
NATIONAL-DYSLEXIA-WEEK-2018,SYNFUTURES,NHSUK,2
16-DAYS-OF-ACTION-2018,KERTG,DOGSTRUST,2
WEAR-PURPLE-FOR-JIA-2018,WELLY564,STRAT_OBSERVER,1
EATING-DISORDER-AWARENESS-WEEK-2018,GAILFARRELLY,LINDALEEKING,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,MYSWEETZEPOL,SBELLASWAYS,2
MENS-HEALTH-WEEK-2018,RENDEZVOUSENNY,LINDAHOBDEN,1
BRAIN-AWARENESS-WEEK-2018,NEURO_LOVER,NEUROSCIENCE,2
NO-SMOKING-DAY-2018,CARMENCITATW,PROVIDE_CIC,2
16-DAYS-OF-ACTION-2018,GESTORESSAS,CECI_CANADA,1
WEAR-PURPLE-FOR-JIA-2018,HARRYT68,STRAT_OBSERVER,1
DRY-JANUARY-2018,CHESTERTWEETSUK,URBANO32CHESTER,1
MND-AWARENESS-MONTH-2018,ROZMALCOLM,MNDSCOTLAND,1
MND-AWARENESS-MONTH-2018,DEBSCHEBS,BOLTONHOSPICE,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,RBROSEMER,TESAROBIO,2
ELF-DAY,KIRSTYMITCH1988,RDASH_NHS,2
MND-AWARENESS-MONTH-2018,MNDASSOC,MNDASSOC,1
DRY-JANUARY-2018,H_IGOE,31DOVER,2
EATING-DISORDER-AWARENESS-WEEK-2018,SCARL3TT_ROSE,ALLONTHEBOARD,2
16-DAYS-OF-ACTION-2018,SAMCCHANGE,RAPECRISISSCOT,4
16-DAYS-OF-ACTION-2018,BECAUSEIMAMANZW,UNICEFZIMBABWE,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,BSYNGAP,MLWELDON5,2
EXPERIENCE-OF-CARE-WEEK-2018,VANBURENNIKKI,NISWONGERCHOSP,2
EATING-DISORDER-AWARENESS-WEEK-2018,STRIDEDOC,UNIOFYORK,1
CARERS-WEEK-2018,KGDITCHAM,YOUNGSCOT,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,ALLISONF70,NHSENGLAND,2
16-DAYS-OF-ACTION-2018,EMPTYUTERUSBLOG,NOBELWOMEN,2
EATING-DISORDER-AWARENESS-WEEK-2018,RY_DORSET,BEATEDSUPPORT,2
TIME-TO-TALK-DAY-2018,DORMAN_LYNN,SEEMESCOTLAND,2
JEANS-FOR-GENES-DAY,HELLOITSMESOFIA,JEANSFORGENES,1
TIME-TO-TALK-DAY-2018,JESSROYLE90,HIDDENTHEATRECO,1
DEMENTIA-ACTION-WEEK-2018,FIRSTARK,HOUSE_MEMORIES,1
DEMENTIA-ACTION-WEEK-2018,DISABILITYNORTH,DISABILITYNORTH,1
ELF-DAY,DAVEPICK73,EDDIESTOBARTCOM,2
WEAR-PURPLE-FOR-JIA-2018,BEDAZZLE83,JIA_NRAS,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,MISHMOSHMCP,RCOBSGYN,2
ELF-DAY,SOPHIEMK_ESCORT,LUIGINKED,2
MENS-HEALTH-WEEK-2018,MELANIETHOMAS1,MAC_CANCERINFO,2
CARERS-WEEK-2018,JOHNWALSH88,EQUALNOTTS,1
RARE-DISEASE-DAY-2018,CFAWARE,STRAWFIE,1
DEMENTIA-ACTION-WEEK-2018,TOMMYTOMMYTEE18,TOMMYTOMMYTEE18,1
EATING-DISORDER-AWARENESS-WEEK-2018,CARRIEMAISIE,OLIVIAGOODWILL,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,SUEGRAY834,NHSENGLAND,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,WSBHOSPICES,1
16-DAYS-OF-ACTION-2018,TOLAADESEMOWO,MANCWOMENSAID,2
NO-SMOKING-DAY-2018,ANGLIARESEARCH,KEYTOTHEPAST,1
NO-SMOKING-DAY-2018,DAMPFFREIHEIT,DAMPFFREIHEIT,2
RARE-DISEASE-DAY-2018,YANA1954,RVAWONK,2
JEANS-FOR-GENES-DAY,GUCCISHOUIS,JEANSFORGENES,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,HUNTSMANCANCER,HUNTSMANCANCER,2
DRY-JANUARY-2018,PAMPERED90,CHOCTRADINGCO,2
BRAIN-AWARENESS-WEEK-2018,HEALTHTECHHTC,RCNDARCY,1
DEMENTIA-ACTION-WEEK-2018,NICKYCONNORFIFE,LIVVYLIVES72,2
EATING-DISORDER-AWARENESS-WEEK-2018,HOPEVIRGO,ALEXCARLINGTTS,2
JEANS-FOR-GENES-DAY,TLG527,JEANS_FOR_GENES,1
MENS-HEALTH-WEEK-2018,SINCERELYESSIE,AIMSONHEALTH,2
NO-SMOKING-DAY-2018,BLENHEIMCDP,KICK_IT_NOW,1
ELF-DAY,SHAYPCLOVE,NICKJONAS,1
DRY-JANUARY-2018,CHESTERHOUR,URBANO32CHESTER,1
NUTRITION-AND-HYDRATION-WEEK-2018,SIANMORGANB,AGEUKWC2,2
NO-SMOKING-DAY-2018,BSOLPHMSTUDENT,PHE_UK,1
OCD-AWARENESS-WEEK-2018,SJWONTIME,LWBEAN,1
MENS-HEALTH-WEEK-2018,ROBYELDHAM,VERSUSARTHRITIS,1
ELF-DAY,WJALDISS,EDP24,1
DEMENTIA-ACTION-WEEK-2018,STEPIN2NATURE,DWTWEYPORT,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,CHCMSCANADA,2
16-DAYS-OF-ACTION-2018,SHIRZAY_MSH,UN_WOMEN,2
ELF-DAY,SHEILS49,ALZHEIMERSSOC,1
EXPERIENCE-OF-CARE-WEEK-2018,HERRINGS18,CHRISTINPENHALE,1
NO-SMOKING-DAY-2018,JENNY_SPRING,PHE_UK,1
NUTRITION-AND-HYDRATION-WEEK-2018,CHARITYBEGIN3,NHWEEK,1
ELF-DAY,TANYAPETKOVA5,PRIYANKACHOPRA,1
NATIONAL-DYSLEXIA-WEEK-2018,AADDUK,GROOOPS_UK,2
CARERS-WEEK-2018,ASMITHHEALTHNUX,SAINSBURYS,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,EPILEPSYSWO,TORONTOPOLICE,1
TIME-TO-TALK-DAY-2018,ONEVOICE1111,THE_UNSILENT_,2
TIME-TO-TALK-DAY-2018,OT4ME123,BILLWONGOT,2
DEMENTIA-ACTION-WEEK-2018,RIDDLEDASH85,RIDDLEDASH85,2
CARERS-WEEK-2018,SHOOLYBOO,SCOTGOV,1
BRAIN-AWARENESS-WEEK-2018,XOXOGOSSIP_GALE,BRAINAPPEAL,2
NUTRITION-AND-HYDRATION-WEEK-2018,EARLEYTRACY,SARAHMO1985,1
BRAIN-AWARENESS-WEEK-2018,LATERALMAG,LATERALMAG,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,DARKEDGEUK,JAMESMELVILLE,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,STRAIGHTUPGONG,JAMESMELVILLE,2
BRAIN-AWARENESS-WEEK-2018,JIMJOHNSONSCI,PKNOEPFLER,2
BRAIN-AWARENESS-WEEK-2018,SEAFOODOREGON,SEAFOOD4HEALTH,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,CARERSUK,3
CARERS-WEEK-2018,MIKEQUALITIN,VETERANSGATEWAY,1
JEANS-FOR-GENES-DAY,NOMENCHANX,SWAMP_FEVER2020,1
JEANS-FOR-GENES-DAY,MOCHISANDCREAM,MRSANNETWIST,2
NATIONAL-DEMENTIA-CARERS-2018,LUVSELEFANTES,EMMAB1,1
ELF-DAY,CUTEPCMANIAC,PCSDRAG0N,2
ELF-DAY,MINTYMINNS,NHSLKNOWLEDGE,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,CYGNETHEALTH,2
DEMENTIA-ACTION-WEEK-2018,WHATKTDOES_NOW,EXETERMED,2
16-DAYS-OF-ACTION-2018,JUNTOSPORLAVIDA,ETCRONE,2
NATIONAL-DYSLEXIA-WEEK-2018,DYSLEXIAASSIST,DYSLEXIADEB1,1
BRAIN-INJURY-WEEK-2018,CEDARFOUNDATION,WESTERNHSCTRUST,1
TIME-TO-TALK-DAY-2018,CARLYYY_95,SAMSMITHWORLD,1
NUTRITION-AND-HYDRATION-WEEK-2018,TILLYBOSS,RACHEL_SANSBURY,1
DEMENTIA-ACTION-WEEK-2018,MASON4233,TALKOLDERPEOPLE,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,OL1OLDHAM,OLDHAMCOUNCIL,2
BRAIN-INJURY-WEEK-2018,WESTERNHSCTRUST,WESTERNHSCTRUST,1
MENS-HEALTH-WEEK-2018,22UNTILNONE,AFTERDEPLOYMENT,2
BRAIN-INJURY-WEEK-2018,RACHJM3,DANNIELLEL90,2
NUTRITION-AND-HYDRATION-WEEK-2018,NHSCREED,SARALIVADEAS,2
NATIONAL-DEMENTIA-CARERS-2018,SRCCG,ALZHEIMERSSOC,1
NO-SMOKING-DAY-2018,ILOVECFOFFICIAL,TENOVUSCANCER,2
TIME-TO-TALK-DAY-2018,WAKEUPTOSUICIDE,MITCH19682011,1
16-DAYS-OF-ACTION-2018,BETTYMURUNGI,ANTONIOGUTERRES,2
MND-AWARENESS-MONTH-2018,BOMBSHELLS202A,MNDEVENTSPLYM,4
MENS-HEALTH-WEEK-2018,LETLIFEHAPPEN,LIVINGBEYONDBC,2
NATIONAL-DEMENTIA-CARERS-2018,INDIGNATION75,WYP_MOWENS,2
EXPERIENCE-OF-CARE-WEEK-2018,CLAIREUNDERDOWN,CLAIREJUKESY,1
DEMENTIA-ACTION-WEEK-2018,AVRILCHAFFEYPR,CORNEXCHANGE,1
NATIONAL-DYSLEXIA-WEEK-2018,CARRIEMAISIE,CAMBRIDGE_DRC,2
TIME-TO-TALK-DAY-2018,PITCHER_LISE,HELPFAITHHEAL,7
NATIONAL-DEMENTIA-CARERS-2018,SOFTSOD,ALZHEIMERSSOC,2
16-DAYS-OF-ACTION-2018,MAISYGRIFFITHS,VOICES_CHARITY,2
OCD-AWARENESS-WEEK-2018,DRJENNYYIP,CUCKOOFORBOOKS,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,LANCSHOSPITALS,4
MENTAL-HEALTH-AWARENESS-WEEK-2018,D_TONARTSCAFE,JAMESMELVILLE,2
EATING-DISORDER-AWARENESS-WEEK-2018,SARAHLOFTUS_,BBCWORLD,1
TIME-TO-TALK-DAY-2018,MANDA_WHY,THEJACKSEXSMITH,1
CARERS-WEEK-2018,JOHNWALSH88,JOHNWALSH88,1
ELF-DAY,TRAFFORDEMENTIA,INRU3STROKE1,1
16-DAYS-OF-ACTION-2018,GAYLEELLISLYDIA,DOGSTRUST,2
NATIONAL-DYSLEXIA-WEEK-2018,DRHELENROSS,SECRETSEND2,2
CARERS-WEEK-2018,STARTTOTALKUK,CARERSLEEDS,1
STRESS-AWARENESS-DAY,INDY_SANDHU1,BAREFOOTCOACHES,2
DRY-JANUARY-2018,MORALFIBRES,EC_MAGAZINE,1
ELF-DAY,PCSDRAG0N,NICKJONAS,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,JLP131,PAULAPETERS2,1
BRAIN-INJURY-WEEK-2018,WAFEFC,CBITUK,1
RARE-DISEASE-DAY-2018,AUGUSTOMUENCH,BOEHRINGERSA,6
ELF-DAY,KATIEHAMPSON333,FLAKETWEET,2
RARE-DISEASE-DAY-2018,MAXINEPATTERSON,CHEMISTRYTWEET,1
TIME-TO-TALK-DAY-2018,PITCHER_LISE,DIONNEKELLY10,2
EATING-DISORDER-AWARENESS-WEEK-2018,JACKSPENCERR3,AXHLEE_,2
TIME-TO-TALK-DAY-2018,APJS87,ELIISTENDER10,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,SPEAK1882,SAMYARWOOD89,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,MAWENGWINNIE,EPILEPSYCO,4
MENS-HEALTH-WEEK-2018,WORLDHEALTHSCOT,VERSUSARTHRITIS,1
RARE-DISEASE-DAY-2018,RUTH61721355,RVAWONK,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,ATIQAH_RANI,GBLAGDEN,1
BRAIN-INJURY-WEEK-2018,LBLAWPI,LBLAWPI,1
BRAIN-INJURY-WEEK-2018,ZOEEPIX,EPIXMEDIA,1
