context,from,to,weight
WEAR-PURPLE-FOR-JIA-2018,JENNIEJ95408140,FRAMINGHAMEARL,1
NUTRITION-AND-HYDRATION-WEEK-2018,SIANMORGANB,HANNAHLHARTNETT,2
DEMENTIA-ACTION-WEEK-2018,WHOSESHOES,SUZYSOPENHEART,1
NO-SMOKING-DAY-2018,TURNINGPOINTUK,DAWS_LONDON,2
CARERS-WEEK-2018,JOYCEMISOI1,CARERSUK,1
MND-AWARENESS-MONTH-2018,REDADMIRAL67,VICKY_100K4MNDA,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,BCMCANCER,CPRITTEXAS,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,DAD2ALYS,VELINDRECC,1
BRAIN-INJURY-WEEK-2018,HEADWAYSUFFOLK,DISS_EXPRESS,1
NATIONAL-DEMENTIA-CARERS-2018,SHELLEY__BRIGHT,CAREQUALITYCOMM,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,HANNAHLHARTNETT,3
16-DAYS-OF-ACTION-2018,NANCYEHANNA,UKUN_NEWYORK,2
WEAR-PURPLE-FOR-JIA-2018,JIA_MATTERS,CHERALYNBEESTON,1
WEAR-PURPLE-FOR-JIA-2018,CLARE_NRAS,JIA_NRAS,2
NUTRITION-AND-HYDRATION-WEEK-2018,CSHSURREY,CARERSUK,2
BRAIN-AWARENESS-WEEK-2018,ELLENBOYDWRITER,BRAINTUMOURFDN,1
JEANS-FOR-GENES-DAY,STARACADEMIES,EDENGIRLSWF,2
JEANS-FOR-GENES-DAY,PREET_AGGERWALL,CENTREOFTHECELL,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,UOFUHEALTH,SARASALMON_AYA,1
MND-AWARENESS-MONTH-2018,ALUNOWEN6,NICKGOLDUP1,2
BRAIN-INJURY-WEEK-2018,INPALLIANCE,UKABIF,4
JEANS-FOR-GENES-DAY,LISAOB98,SHAKAILAELISE,1
OCD-AWARENESS-WEEK-2018,GRIMEBONES,LWBEAN,2
OCD-AWARENESS-WEEK-2018,COCACOLAGARLIC,LWBEAN,2
BRAIN-INJURY-WEEK-2018,INPALLIANCE,HEADWAYUK,1
CERVICAL-CANCER-PREVENTION-WEEK-2018,BORNTOOSOONKH,JOTRUST,1
NATIONAL-DEMENTIA-CARERS-2018,HOWFORD1,ALZHEIMERSSOC,2
JEANS-FOR-GENES-DAY,NEVERMINDBITCH8,MRSANNETWIST,2
EXPERIENCE-OF-CARE-WEEK-2018,YEPMYPONY,PARKRIDGE_,2
NUTRITION-AND-HYDRATION-WEEK-2018,CWMTAFPODIATRY,JO_WILLIAMS80,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,LINDA_11_S,FELICITYBARRTV,2
TIME-TO-TALK-DAY-2018,JESSROYLE90,ELICIAMOON,2
NO-SMOKING-DAY-2018,ANDREWGRIFFITH4,UK_HYPNOTHERAPY,2
WEAR-PURPLE-FOR-JIA-2018,TOPMARKNORWICH,FRAMEARLPE,1
MENS-HEALTH-WEEK-2018,BEKX11,LUSTFORLIFE,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,NHSBARTSHEALTH,1
DEMENTIA-ACTION-WEEK-2018,DEMENTIA_NI,DEMENTIA_NI,1
STRESS-AWARENESS-DAY,YEAHITSBECS,EDU_BROKER,2
16-DAYS-OF-ACTION-2018,GESTORESSAS,CANADADEV,2
ELF-DAY,BRIGSTEER12,FLAKETWEET,2
16-DAYS-OF-ACTION-2018,DE_PLAZZA,THEIRC,2
ELF-DAY,PEGASUSGROUP,ALZHEIMERSSOC,1
CARERS-WEEK-2018,MYNAMEISANDYJ,INVOLVET1,1
BRAIN-INJURY-WEEK-2018,BODAGALLON,POTTERREESDOLAN,1
MENS-HEALTH-WEEK-2018,MENS10K,MENS10K,1
BRAIN-AWARENESS-WEEK-2018,MASON4233,CREATEDHUB,2
ELF-DAY,PC_VD_DEEWANI,PRIYANKACHOPRA,1
JEANS-FOR-GENES-DAY,ALICEDIXI,MRSANNETWIST,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,CV_UHB,2
